car_name,year,price,assemble_place,series,km,engine_type,transmission,url
Mitsubishi Xpander 1.5 AT,2021,579 Triệu,Nhập khẩu,SUV,"12,600 Km",Xăng  1.5 L,Số tự động,https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2021-5640991
Mercedes Benz GLC 300 4Matic,2017,1 Tỷ 129 Triệu,Lắp ráp trong nước,SUV,"43,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2017-5621692
Honda HRV L,2019,595 Triệu,Nhập khẩu,Crossover,"71,000 Km",Xăng  1.8 L,Số tự động,https://bonbanh.com/xe-honda-hrv-l-2019-5601037
Peugeot 5008 1.6 AT,2018,685 Triệu,Lắp ráp trong nước,SUV,0 Km,Xăng  1.6 L,Số tự động,https://bonbanh.com/xe-peugeot-5008-1.6-at-2018-5641006
Hyundai SantaFe Premium 2.2L HTRAC,2019,858 Triệu,Lắp ráp trong nước,SUV,"108,000 Km",Dầu  2.2 L,Số tự động,https://bonbanh.com/xe-hyundai-santafe-premium-2.2l-htrac-2019-5637654
RAM 1500 Longhorn 5.7L 4x4 AT,2022,5 Tỷ 488 Triệu,Nhập khẩu,Bán tải / Pickup,"12,262 Km",Xăng  5.7 L,Số tự động,https://bonbanh.com/xe-ram-1500-longhorn-5.7l-4x4-at-2022-5529119
Toyota Yaris RS 1.5 AT,2013,335 Triệu,Nhập khẩu,Hatchback,"78,999 Km",Xăng  1.5 L,Số tự động,https://bonbanh.com/xe-toyota-yaris-rs-1.5-at-2013-5624530
Honda City G 1.5 AT,2021,455 Triệu,Lắp ráp trong nước,Sedan,"33,333 Km",Xăng  1.5 L,Số tự động,https://bonbanh.com/xe-honda-city-g-1.5-at-2021-5639017
Mazda CX5 Premium 2.0 AT,2022,836 Triệu,Lắp ráp trong nước,SUV,"20,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2022-5641003
Hyundai SantaFe 2.4L 4WD,2018,735 Triệu,Lắp ráp trong nước,SUV,"60,000 Km",Xăng  2.4 L,Số tự động,https://bonbanh.com/xe-hyundai-santafe-2.4l-4wd-2018-5641002
Kia Sonet Premium 1.5 AT,2022,579 Triệu,Lắp ráp trong nước,Crossover,"1,100 Km",Xăng  1.5 L,Số tự động,https://bonbanh.com/xe-kia-sonet-premium-1.5-at-2022-5555537
Toyota Corolla Cross 1.8V,2021,769 Triệu,Nhập khẩu,SUV,"25,000 Km",Xăng  1.8 L,Số tự động,https://bonbanh.com/xe-toyota-corolla_cross-1.8v-2021-5520077
Subaru Forester,2.0i,"L 
						2023",Nhập khẩu,SUV,"10,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-subaru-forester-2.0i-l-2023-5543804
Honda Accord 1.5 AT,2022,1 Tỷ 59 Triệu,Nhập khẩu,Sedan,"8,000 Km",Xăng  1.5 L,Số tự động,https://bonbanh.com/xe-honda-accord-1.5-at-2022-5509175
Mercedes Benz GLC,2018,979 Triệu,Lắp ráp trong nước,SUV,0 Km,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc--2018-5640999
Mercedes Benz S class S400L,2014,1 Tỷ 250 Triệu,Lắp ráp trong nước,Sedan,"90,000 Km",Xăng  3.0 L,Số tự động,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2014-5635375
